organization,cohort date,nurse id,deid_names,employment start date,type of unit,age,gender,nursing degree received,gpa,employment status,previous health care work experience,leave,type of leave,termination,termination date,tenure,termination reason,id,education_clean,gpa_numeric
Emory Hillandale Hospital,2024-08-22,0472968,13793,2024-08-12,Medical/Surgical Inpatient Unit,30.0,Female,Adn/Asn,2.5 - 2.99,Full-Time,,No,,No,,,,20672,Atlanta Technical College,2.75
Emory University Hospital,2024-08-05,0408670,13794,2015-03-30,Medical/Surgical Intermediate Unit,29.0,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20673,Atlanta Technical College,3.25
Emory University Hospital,2023-08-16,0444278,13795,2023-07-31,Surgical Icu Inpatient Unit,28.0,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20674,Atlanta Technical College,3.25
Emory University Hospital Midtown,2022-08-12,2131947,13796,2022-08-08,Cardiac/Heart/Vascular Critical Care,24.0,Female,Adn/Asn,2.5 - 2.99,,,No,,No,,,,20675,Atlanta Technical College,2.75
Emory Decatur Hospital,2024-08-20,0428492,13797,2024-08-20,Emergency Department,31.0,Male,Adn/Asn,2.5 - 2.99,Full-Time,,No,,Yes,2025-08-14,0.9835616438,Unsatisfactory Performance,20676,Atlanta Technical College,2.75
Emory University Hospital Midtown,2024-08-09,0475356,13798,2024-08-26,Medical/Surgical Inpatient Unit,32.0,Male,Adn/Asn,3.0 - 3.49,Full-Time,,No,,Yes,2025-05-05,0.6904109589,Other/Unknown,20677,Atlanta Technical College,3.25
Emory Hillandale Hospital,2021-08-26,0410978,13799,2021-08-01,Ambulatory Setting,24.0,Male,Adn/Asn,3.5 And Above,,,No,,No,,,,20678,Atlanta Technical College,3.75
Emory University Hospital Midtown,2020-08-01,0373691,13800,2020-08-10,Emergency Department,39.0,Female,Adn/Asn,3.0 - 3.49,,,No,,No,,,,20679,Atlanta Technical College,3.25
The Emory Clinic,2025-08-18,0479599,13801,2025-08-18,Ambulatory Setting,26.0,Female,Adn/Asn,2.5 - 2.99,Full-Time,,No,,No,,,,20680,Atlanta Technical College,2.75
Emory University Hospital,2025-11-12,2727427,14049,2025-10-20,Medical/Surgical Icu Inpatient Unit,25.0,Male,Accelerated Bsn,3.5 And Above,Full-Time,,No,,No,,,,20928,Baylor University,3.75
Emory University Hospital Midtown,2022-08-12,0456480,14050,2022-07-25,Mother/Baby Unit,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,20929,Baylor University,3.75
Emory Decatur Hospital,2019-07-23,0435723,14051,2019-07-15,Neonatal Icu Inpatient Unit,24.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,No,,,,20930,Baylor University,3.25
Emory University Hospital,2016-10-13,5021,14052,,Medical/Surgical Inpatient Unit,22.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,20931,Baylor University,3.25
Emory University Hospital,2015-10-08,0410848,14053,,Medical/Surgical Icu Inpatient Unit,27.0,Female,Bsn,3.5 And Above,,,No,,No,,,,20932,Baylor University,3.75
Emory Saint Joseph’S Hospital,2017-02-20,0417796,14122,2017-02-20,Neurology/Neurosurgical Icu Inpatient Unit,40.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2019-10-12,2.64109589,Other/Unknown,21001,Brenau University,3.25
Emory Saint Joseph’S Hospital,2016-07-11,030777,14123,,Medical/Surgical Inpatient Unit,26.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21002,Brenau University,3.25
Emory Saint Joseph’S Hospital,2016-07-11,175658,14124,,Medical/Surgical Inpatient Unit,23.0,Female,Bsn,3.0 - 3.49,,,No,,Yes,2020-09-06,,Obtained Position Representing A Promotion/Career Advancement,21003,Brenau University,3.25
Emory Saint Joseph’S Hospital,2016-07-11,5699720,14125,,Medical/Surgical Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,Yes,2020-10-13,,Obtained Position Representing A Promotion/Career Advancement,21004,Brenau University,3.75
Emory University Hospital,2012-09-10,4103,14126,,Medical/Surgical Icu Inpatient Unit,40.0,Male,Bsn,3.5 And Above,,,No,,No,,,,21005,Brenau University,3.75
Emory Johns Creek Hospital,2025-10-02,0484389,14127,2025-11-24,General Medical Inpatient Unit,25.0,Female,Masters,3.5 And Above,Full-Time,,No,,No,,,,21006,Brenau University,3.75
Emory Johns Creek Hospital,2025-02-17,0477050,14129,2025-03-24,Mother/Baby Unit,25.0,Female,Masters,3.0 - 3.49,Full-Time,,No,,No,,,,21008,Brenau University,3.25
Emory University Hospital Midtown,2024-10-25,0468862,14130,2024-12-09,Surgical Icu Inpatient Unit,24.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,21009,Brenau University,3.75
Emory University Hospital Midtown,2024-10-25,1883146,14131,2024-11-04,Medical/Surgical Inpatient Unit,31.0,Female,Masters,3.5 And Above,Full-Time,,No,,No,,,,21010,Brenau University,3.75
Emory University Hospital,2024-08-22,2182185,14132,2024-08-05,Oncology Inpatient Unit,27.0,Female,Masters,3.0 - 3.49,Full-Time,,No,,No,,,,21011,Brenau University,3.25
Emory Decatur Hospital,2024-08-20,0473359,14134,2024-08-19,Psychiatric Inpatient Unit,45.0,Female,Masters,3.5 And Above,Full-Time,,No,,No,,,,21013,Brenau University,3.75
Emory University Hospital Midtown,2024-08-09,0472570,14135,2024-08-05,Emergency Department,24.0,Female,Masters,3.5 And Above,Full-Time,,No,,No,,,,21014,Brenau University,3.75
Emory University Hospital,2024-08-05,0472654,14136,2024-07-29,Transplant Unit,28.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21015,Brenau University,3.25
Emory Saint Joseph’S Hospital,2024-07-12,0471651,14137,2024-08-05,Emergency Department,49.0,Female,Masters,3.5 And Above,Full-Time,,No,,No,,,,21016,Brenau University,3.75
Emory Johns Creek Hospital,2024-07-12,2013566,14138,2024-06-24,Medical/Surgical Icu Inpatient Unit,30.0,Female,Masters,3.5 And Above,Full-Time,,No,,No,,,,21017,Brenau University,3.75
Emory Saint Joseph’S Hospital,2021-02-15,1049601,14139,2021-03-22,General Medical Inpatient Unit,38.0,Female,Bsn,3.5 And Above,Full-Time,,No,,Yes,2021-09-27,0.5178082192,Unhappy With Job/Facility,21018,Brenau University,3.75
Emory Saint Joseph’S Hospital,2024-02-22,0452869,14140,2024-02-04,Telemetry Unit,31.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,21019,Brenau University,3.75
Emory University Hospital Midtown,2023-04-07,0461844,14141,2023-03-27,Neurology/Neurosurgical Icu Inpatient Unit,23.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2024-03-06,0.9452054795,Relocating Out Of Area,21020,Brenau University,3.75
Emory Saint Joseph’S Hospital,2024-02-22,0468377,14142,2024-02-05,Medical/Surgical Icu Inpatient Unit,27.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2025-07-09,1.424657534,Unhappy With Job/Facility,21021,Brenau University,3.25
Emory Saint Joseph’S Hospital,2024-02-22,0468442,14143,2024-02-19,Perioperative Or,30.0,Female,Masters,3.5 And Above,Full-Time,,No,,Yes,2025-07-10,1.389041096,Personal Reasons,21022,Brenau University,3.75
Emory University Hospital,2023-11-08,2462889,10781,2023-10-09,Cardiac/Heart/Vascular Critical Care,24.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,21023,Brenau University,3.75
Emory University Hospital,2023-10-23,0466509,14145,2023-10-16,Transplant Unit,23.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21024,Brenau University,3.25
Emory Johns Creek Hospital,2024-07-12,0471326,14146,2024-06-03,Medical/Surgical Inpatient Unit,26.0,Male,Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2025-04-19,0.8767123288,Unsatisfactory Performance,21025,Brenau University,3.25
Emory University Hospital,2023-08-16,0443898,10780,2023-07-24,Neurology/Neurosurgical Icu Inpatient Unit,31.0,Female,Masters,3.0 - 3.49,Full-Time,,No,,No,,,,21026,Brenau University,3.25
Emory Decatur Hospital,2023-08-15,2441675,14148,2023-07-17,Medical/Surgical Intermediate Unit,27.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21027,Brenau University,3.25
