organization,cohort date,nurse id,deid_names,employment start date,type of unit,age,gender,nursing degree received,gpa,employment status,previous health care work experience,leave,type of leave,termination,termination date,tenure,termination reason,id,education_clean,gpa_numeric
Emory University Hospital,2021-08-18,2419211,15324,2021-07-19,Surgical Icu Inpatient Unit,45.0,Female,Bsn,3.5 And Above,,,No,,Yes,2023-03-05,1.62739726,Other/Unknown,22203,Emory University,3.75
Emory University Hospital,2021-08-18,2425681,15325,2021-08-02,Cardiac/Heart/Vascular Critical Care,29.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22204,Emory University,3.75
Emory University Hospital Midtown,2021-08-13,2235061,15326,2021-08-13,Oncology Inpatient Unit,22.0,Female,Bsn,2.5 - 2.99,,,No,,No,,,,22205,Emory University,2.75
Emory University Hospital Midtown,2021-08-13,2288447,15327,2021-08-09,Emergency Department,22.0,Female,Bsn,3.5 And Above,,,No,,Yes,2023-06-25,1.876712329,Relocating Out Of Area,22206,Emory University,3.75
Emory University Hospital Midtown,2021-08-13,2418671,15328,2021-08-09,Neonatal Icu Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22207,Emory University,3.75
Emory Decatur Hospital,2021-07-26,2278966,15329,2021-07-26,Oncology Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22208,Emory University,3.75
Emory Decatur Hospital,2021-07-26,2281411,15330,2021-07-26,Emergency Department,22.0,Female,Bsn,3.5 And Above,,,No,,Yes,2023-07-15,1.969863014,Relocating Out Of Area,22209,Emory University,3.75
Emory Decatur Hospital,2021-07-26,2282336,15331,2021-07-26,Neonatal Intermediate Unit,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22210,Emory University,3.75
Emory Decatur Hospital,2021-07-26,2282443,15332,2021-08-09,General Medical Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,Yes,2024-06-23,2.873972603,Relocating Out Of Area,22211,Emory University,3.75
Emory Decatur Hospital,2021-07-26,2282608,15333,2021-07-26,Neonatal Icu Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,Yes,2023-05-07,1.780821918,Other/Unknown,22212,Emory University,3.75
Emory Decatur Hospital,2021-07-26,2368302,15334,2021-07-26,Obstetrics/Labor & Delivery Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22213,Emory University,3.75
Emory University Hospital,2021-07-22,2281901,15335,2021-07-19,General Medical Inpatient Unit,21.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,22214,Emory University,3.25
Emory University Hospital At Wesley Woods,2021-07-22,2301162,15336,2021-07-12,Psychiatric Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22215,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-07-12,0447831,15337,2021-07-04,Medical/Surgical Inpatient Unit,28.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,22216,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-07-12,2064672,15338,2021-07-04,Orthopedic Inpatient Unit,26.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2024-01-06,2.509589041,Returning To School Full-Time,22217,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-07-12,2232510,15339,2021-07-04,Cardiac/Heart/Vascular Critical Care,25.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2025-03-02,3.663013699,Other/Unknown,22218,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-07-12,2423406,15340,2021-07-04,Telemetry Unit,30.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,No,,,,22219,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-07-12,2423480,15341,2021-07-04,Telemetry Unit,25.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2023-03-15,1.695890411,Obtained Position With A More Desirable Work Schedule,22220,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-07-12,2423555,15342,2021-07-04,Medical/Surgical Icu Inpatient Unit,22.0,Female,Bsn,3.5 And Above,Full-Time,,No,,Yes,2024-02-25,2.646575342,Relocating Out Of Area,22221,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-07-12,2427727,15343,2021-07-04,Telemetry Unit,25.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,22222,Emory University,3.75
Emory University Hospital Midtown,2021-07-04,0398161,15344,2021-08-09,Cardiac/Heart/Vascular Critical Care,33.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22223,Emory University,3.75
Emory University Hospital Midtown,2021-07-04,1745601,15345,2021-09-19,Oncology Inpatient Unit,29.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22224,Emory University,3.75
Emory University Hospital,2021-07-04,2068266,15347,2021-07-11,Medical/Surgical Intermediate Unit,25.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22226,Emory University,3.75
Emory Decatur Hospital,2021-07-04,2364413,15348,2021-07-26,Medical/Surgical Intermediate Unit,27.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22227,Emory University,3.75
Emory Decatur Hospital,2021-07-04,2381351,15349,2021-07-11,Medical/Surgical Intermediate Unit,22.0,Female,Masters,3.5 And Above,,,No,,No,,,,22228,Emory University,3.75
Emory University Hospital,2021-07-04,2409667,15350,2021-10-25,Oncology Inpatient Unit,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22229,Emory University,3.75
Emory University Hospital,2021-07-04,2423850,15351,2021-07-19,Telemetry Unit,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22230,Emory University,3.75
Emory University Hospital Midtown,2021-07-04,2428528,15352,2021-07-11,Cardiac/Heart/Vascular Critical Care,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22231,Emory University,3.75
Emory University Hospital Midtown,2021-07-04,2431067,15353,2021-08-09,Medical/Surgical Inpatient Unit,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2023-10-02,2.147945205,Other/Unknown,22232,Emory University,3.75
Emory University Hospital,2021-04-16,2018724,15354,2021-01-24,Cardiac/Heart/Vascular Critical Care,23.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22233,Emory University,3.75
Emory Rehabilitation Hospital,2021-04-16,2114971,15355,2021-03-22,Rehabilitation Inpatient Unit,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2023-11-11,2.64109589,Other/Unknown,22234,Emory University,3.75
Emory University Hospital,2021-04-16,2120710,15356,2021-03-01,Medical/Surgical Intermediate Unit,25.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2022-10-28,1.660273973,Relocating Out Of Area,22235,Emory University,3.75
Emory University Hospital,2021-04-16,2319987,15357,2021-03-01,Medical/Surgical Intermediate Unit,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22236,Emory University,3.75
Emory University Hospital,2021-04-16,2370581,15358,2021-03-22,Surgical Icu Inpatient Unit,30.0,Male,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22237,Emory University,3.75
Emory University Hospital,2021-04-16,2371327,15359,2021-05-03,Cardiac/Heart/Vascular Critical Care,33.0,Male,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-08-03,1.252054795,Travel Nurse,22238,Emory University,3.75
Emory University Hospital,2021-04-16,2371573,15360,2021-03-22,Oncology Inpatient Unit,26.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,Yes,2023-09-20,2.498630137,Other/Unknown,22239,Emory University,3.25
Emory University Hospital,2021-04-16,2372561,15361,2021-02-22,Cardiac/Heart/Vascular Critical Care,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-09-10,1.547945205,Relocating Out Of Area,22240,Emory University,3.75
Emory University Hospital,2021-04-16,2388125,15362,2021-03-22,Surgical Icu Inpatient Unit,29.0,Male,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22241,Emory University,3.75
Emory University Hospital,2021-04-16,2418607,15363,2021-03-22,Neurology/Neurosurgical Icu Inpatient Unit,26.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22242,Emory University,3.75
Emory University Hospital,2021-04-16,2418609,15364,2021-04-05,Oncology Inpatient Unit,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22243,Emory University,3.75
Emory University Hospital Midtown,2021-04-01,2048641,15365,2021-04-19,Neonatal Icu Inpatient Unit,26.0,Female,Bsn,3.0 - 3.49,,,No,,Yes,2024-03-15,2.906849315,Other/Unknown,22244,Emory University,3.25
Emory University Hospital Midtown,2021-04-01,2319107,15366,2021-02-07,Medical/Surgical Inpatient Unit,40.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2024-01-12,2.928767123,Compensation/Pay,22245,Emory University,3.75
Emory University Hospital Midtown,2021-04-01,2371027,15367,2021-01-04,Obstetrics/Labor & Delivery Inpatient Unit,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-12-05,1.917808219,Other/Unknown,22246,Emory University,3.75
Emory University Hospital Midtown,2021-04-01,2386658,15368,2021-01-11,Obstetrics/Labor & Delivery Inpatient Unit,27.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22247,Emory University,3.75
Emory Decatur Hospital,2021-03-15,1277000,15369,2021-03-15,Neonatal Icu Inpatient Unit,32.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22248,Emory University,3.75
Emory Decatur Hospital,2021-03-15,2370702,15370,2021-03-07,Emergency Department,24.0,Male,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22249,Emory University,3.75
Emory University Hospital,2021-09-27,2198354,15371,2021-10-04,Transplant Unit,30.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-09-13,0.9424657534,Did Not Return From Leave Of Absence,22250,Emory University,3.75
Emory Decatur Hospital,2020-10-13,2372331,15372,2020-10-05,Emergency Department,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2021-08-19,0.8712328767,Returning To School Full-Time,22251,Emory University,3.75
Emory University Hospital,2021-02-15,2381355,15373,2021-02-15,Perioperative Or,24.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,No,,,,22252,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-02-15,2386678,15374,2021-02-15,Medical/Surgical Intermediate Unit,23.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-06-16,1.331506849,Obtained Position Representing A Different Job Experience,22253,Emory University,3.75
Emory University Hospital,2023-11-08,2522590,15375,2023-10-09,Cardiac/Heart/Vascular Critical Care,24.0,Female,Masters,3.5 And Above,Full-Time,,No,,Yes,2024-06-08,0.6657534247,Unhappy With Job/Facility,22254,Emory University,3.75
Emory University Hospital,2023-11-08,2543614,15376,2023-10-09,Cardiac/Heart/Vascular Critical Care,33.0,Female,Masters,3.5 And Above,Full-Time,,No,,Yes,2024-06-01,0.6465753425,Obtained Position Representing A Different Job Experience,22255,Emory University,3.75
Emory University Hospital,2020-11-06,2252367,15377,2020-11-15,Oncology Inpatient Unit,23.0,Female,Bsn,3.0 - 3.49,,,No,,Yes,2021-12-05,1.054794521,Obtained Position Representing A Different Job Experience,22256,Emory University,3.25
Emory University Hospital,2018-10-15,1784935,15378,2018-10-15,Medical/Surgical Icu Inpatient Unit,25.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,Yes,2019-03-01,0.3753424658,Unsatisfactory Performance,22257,Emory University,3.25
Emory University Hospital Midtown,2020-10-30,2257096,15379,2020-10-11,Oncology Inpatient Unit,22.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,22258,Emory University,3.25
Emory University Hospital Midtown,2020-10-30,2319500,15380,2020-10-09,Medical/Surgical Inpatient Unit,24.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22259,Emory University,3.75
Emory University Hospital Midtown,2020-10-30,2374234,15381,2020-10-18,Orthopedic Inpatient Unit,30.0,Male,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2022-04-26,1.520547945,Obtained Position With A More Desirable Work Schedule,22260,Emory University,3.75
Emory Decatur Hospital,2020-10-13,2256013,15382,2020-09-14,Emergency Department,21.0,Female,Bsn,3.5 And Above,,,No,,Yes,2021-10-03,1.052054795,Obtained Position Representing A Different Job Experience,22261,Emory University,3.75
Emory University Orthopaedics & Spine Hospital,2020-10-13,2361801,15383,2020-10-19,Perioperative Pacu,25.0,Female,Bsn,3.5 And Above,,,No,,Yes,2022-05-25,1.597260274,Relocating Out Of Area,22262,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-10-12,1738152,15384,2020-10-12,Medical/Surgical Inpatient Unit,29.0,Female,Accelerated Bsn,3.5 And Above,Per Diem,,No,,No,,,,22263,Emory University,3.75
Emory Saint Joseph’S Hospital,2021-10-18,2425380,15385,2021-10-18,Cardiac/Heart/Vascular Critical Care,23.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-06-30,0.698630137,Obtained Position With A More Desirable Work Schedule,22264,Emory University,3.75
Emory University Hospital,2021-09-27,2290332,15386,2021-10-18,Orthopedic Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,Yes,2022-04-01,0.4520547945,Returning To School Full-Time,22265,Emory University,3.75
Emory University Hospital,2020-08-06,2164580,15387,2020-08-03,Oncology Inpatient Unit,23.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-10-31,2.243835616,Family Obligations (Family/Friend Caregiving Responsibility),22266,Emory University,3.75
Emory University Hospital,2020-08-06,2236049,15388,2020-06-16,Medical Icu Inpatient Unit,21.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,22267,Emory University,3.75
Emory University Hospital,2020-08-06,2247859,15389,2020-07-26,Perioperative Or,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22268,Emory University,3.75
Emory University Hospital,2020-08-06,2250706,15390,2020-08-03,Perioperative Or,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22269,Emory University,3.75
Emory University Hospital,2020-08-06,2252326,15391,2020-07-27,Neurology/Neurosurgical Icu Inpatient Unit,22.0,Male,Bsn,3.5 And Above,,,No,,No,,,,22270,Emory University,3.75
Emory University Hospital,2020-08-06,2258198,15392,2020-07-27,Perioperative Or,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22271,Emory University,3.75
Emory University Hospital Midtown,2020-08-01,1422523,15393,2020-08-10,Cardiac/Heart/Vascular Critical Care,44.0,Female,Bsn,3.5 And Above,,,No,,Yes,2021-08-10,1.0,Obtained Position With A More Desirable Work Schedule,22272,Emory University,3.75
Emory University Hospital Midtown,2020-08-01,2258198,15394,2020-07-27,Perioperative Or,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22273,Emory University,3.75
Emory University Hospital Midtown,2020-08-01,2288320,15395,2020-08-06,Oncology Inpatient Unit,24.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22274,Emory University,3.75
Emory University Hospital,2020-07-30,2195441,15396,2020-07-26,Medical/Surgical Intermediate Unit,23.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22275,Emory University,3.75
Emory University Hospital,2020-07-30,2236808,15397,2020-08-03,Medical/Surgical Intermediate Unit,22.0,Female,Bsn,3.0 - 3.49,,,No,,Yes,2023-04-20,2.712328767,Other/Unknown,22276,Emory University,3.25
Emory University Hospital Midtown,2022-10-28,2134755,15399,2022-10-22,Neonatal Icu Inpatient Unit,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-10-28,0.01643835616,Left Before Cohort Started,22278,Emory University,3.75
Emory Decatur Hospital,2020-07-21,2233521,15400,2020-06-14,Neonatal Icu Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,Yes,2023-03-04,2.720547945,Relocating Out Of Area,22279,Emory University,3.75
Emory Decatur Hospital,2020-07-21,2319262,15401,2020-07-13,Neonatal Icu Inpatient Unit,31.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22280,Emory University,3.75
Emory Johns Creek Hospital,2020-07-13,2234389,15402,2020-07-20,General Medical Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,Yes,2022-07-25,2.01369863,Unhappy With Job/Facility,22281,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-07-13,2234597,15403,2020-07-13,Cardiac/Heart/Vascular Critical Care,22.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,22282,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-07-13,2361802,15404,2020-07-13,General Medical Inpatient Unit,22.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,22283,Emory University,3.75
Emory Johns Creek Hospital,2020-07-04,1290812,15405,2020-07-20,Medical/Surgical Icu Inpatient Unit,32.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,No,,,,22284,Emory University,3.75
Emory University Hospital Midtown,2020-07-04,1687825,15406,2020-06-08,Cardiac/Heart/Vascular Critical Care,29.0,Male,Bsn,3.5 And Above,,,No,,Yes,2021-06-18,1.02739726,Relocating Out Of Area,22285,Emory University,3.75
Emory University Hospital,2020-07-04,1790903,15407,2020-07-04,Medical/Surgical Inpatient Unit,27.0,Female,Bsn,3.5 And Above,,,No,,Yes,2022-02-05,1.591780822,Obtained Position Representing A Different Job Experience,22286,Emory University,3.75
Emory University Hospital,2020-07-04,1827824,15408,2020-07-04,Oncology Inpatient Unit,53.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22287,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-07-04,2289172,15410,2020-07-13,Medical/Surgical Intermediate Unit,24.0,Male,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-12-30,2.465753425,Other/Unknown,22289,Emory University,3.75
Emory University Hospital,2020-07-04,2314954,15411,2020-08-03,Oncology Inpatient Unit,26.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,Yes,2021-09-04,1.087671233,Relocating Out Of Area,22290,Emory University,3.25
Emory University Hospital,2020-07-04,2320970,15412,2020-07-04,Transplant Unit,25.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,No,,,,22291,Emory University,3.25
Emory Saint Joseph’S Hospital,2020-07-04,2332855,15413,2020-06-14,Orthopedic Inpatient Unit,22.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,Yes,2021-09-22,1.273972603,Returning To School Full-Time,22292,Emory University,3.25
Emory University Hospital,2020-07-04,2366481,15414,2020-07-30,Medical/Surgical Inpatient Unit,33.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22293,Emory University,3.75
Emory University Hospital Midtown,2021-10-29,2446928,15415,2021-10-24,Mother/Baby Unit,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-09-24,0.9178082192,Relocating Out Of Area,22294,Emory University,3.75
Emory Decatur Hospital,2020-07-04,2370349,15416,2020-07-04,Oncology Inpatient Unit,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22295,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-07-04,2371164,15417,2020-07-13,General Medical Inpatient Unit,25.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,Yes,2021-12-08,1.405479452,Did Not Return From Leave Of Absence,22296,Emory University,3.25
Emory Johns Creek Hospital,2020-07-04,2371287,15418,2020-06-15,Ambulatory Setting,46.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2023-07-01,3.043835616,Other/Unknown,22297,Emory University,3.75
Emory University Hospital Midtown,2020-07-04,2371889,15419,2020-06-15,Medical/Surgical Inpatient Unit,27.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22298,Emory University,3.75
Emory University Hospital,2020-07-04,2372265,15420,2020-07-30,Oncology Inpatient Unit,25.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22299,Emory University,3.75
Emory University Hospital,2020-07-04,2372329,15421,2020-07-30,Oncology Inpatient Unit,24.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,No,,,,22300,Emory University,3.75
Emory University Hospital,2020-07-04,2374239,15422,2020-07-30,General Surgical Inpatient Unit,23.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2021-08-14,1.04109589,Relocating Out Of Area,22301,Emory University,3.75
Emory University Hospital,2020-05-01,2162820,15423,2020-03-09,Surgical Icu Inpatient Unit,23.0,Male,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22302,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,1536161,15424,2020-03-30,Cardiac/Heart/Vascular Critical Care,29.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-12-31,2.756164384,Travel Nurse,22303,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,1825565,15425,2020-02-24,General Medical Inpatient Unit,26.0,Male,Bsn,3.5 And Above,,,No,,No,,,,22304,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,2073929,15426,2020-03-31,General Surgical Inpatient Unit,24.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,No,,,,22305,Emory University,3.25
Emory University Hospital Midtown,2020-04-01,2121180,15427,2020-02-24,Neurology/Neurosurgical Icu Inpatient Unit,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-12-04,2.778082192,Other/Unknown,22306,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,2140875,15428,2020-03-30,Oncology Inpatient Unit,23.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22307,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,2319524,15429,2020-02-24,Medical/Surgical Intermediate Unit,37.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22308,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,2319682,15430,2020-02-24,Medical Icu Inpatient Unit,27.0,Male,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22309,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,2320104,15431,2020-01-27,General Surgical Inpatient Unit,25.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,22310,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,2321775,15432,2020-03-30,Medical/Surgical Intermediate Unit,29.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22311,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,2326601,15433,2020-03-23,Cardiac/Heart/Vascular Critical Care,24.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2022-03-12,1.969863014,Returning To School Full-Time,22312,Emory University,3.75
Emory University Hospital Midtown,2020-04-01,2364733,15434,2020-03-30,Oncology Inpatient Unit,25.0,Female,Bsn,3.5 And Above,,,No,,Yes,2021-05-19,1.136986301,Did Not Return From Leave Of Absence,22313,Emory University,3.75
Emory University Hospital,2020-03-30,2023842,15435,2020-03-02,Medical/Surgical Intermediate Unit,24.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,No,,,,22314,Emory University,3.75
Emory University Hospital,2020-03-30,2299278,15436,2020-03-02,Oncology Inpatient Unit,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2021-05-24,1.22739726,Other/Unknown,22315,Emory University,3.75
Emory University Hospital,2020-03-30,2321517,15437,2020-03-02,Neurology/Neurosurgical Icu Inpatient Unit,24.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,22316,Emory University,3.75
Emory Decatur Hospital,2020-03-24,2313712,15438,2020-03-16,Neonatal Icu Inpatient Unit,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-10-14,2.580821918,Travel Nurse,22317,Emory University,3.75
Emory Decatur Hospital,2020-03-24,2333937,15439,2020-03-16,Neonatal Icu Inpatient Unit,25.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-04-01,2.043835616,Relocating Out Of Area,22318,Emory University,3.75
Emory Decatur Hospital,2023-11-14,2541931,15440,2023-10-30,Psychiatric Inpatient Unit,31.0,Female,Masters,3.5 And Above,Full-Time,,No,,Yes,2024-06-15,0.6273972603,Other/Unknown,22319,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-02-24,0407165,15441,2020-02-24,Emergency Department,29.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2022-12-09,2.791780822,Disability/Illness/Injury,22320,Emory University,3.75
Emory University Hospital Midtown,2023-10-27,2544219,15442,2023-10-30,Neonatal Icu Inpatient Unit,23.0,Female,Masters,3.5 And Above,Full-Time,,No,,Yes,2024-03-25,0.402739726,Unsatisfactory Performance,22321,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-02-24,2082407,15443,2020-02-24,Ambulatory Setting,24.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,No,,,,22322,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-02-24,2273697,15444,2020-02-24,Ambulatory Setting,44.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2023-07-23,3.410958904,Other/Unknown,22323,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-02-24,2319874,15445,2020-02-24,Medical/Surgical Intermediate Unit,23.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2021-04-27,1.17260274,Unsatisfactory Performance,22324,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-02-24,2320990,15446,2020-02-24,Emergency Department,24.0,Female,Accelerated Bsn,3.5 And Above,Per Diem,,No,,No,,,,22325,Emory University,3.75
Emory Saint Joseph’S Hospital,2020-02-24,2335596,15447,2020-02-24,Medical/Surgical Intermediate Unit,24.0,Female,Accelerated Bsn,3.5 And Above,Per Diem,,No,,Yes,2023-05-12,3.21369863,Other/Unknown,22326,Emory University,3.75
Emory Johns Creek Hospital,2020-02-24,2336829,15448,2020-02-24,Neonatal Intermediate Unit,24.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,Yes,2022-01-13,1.887671233,Other/Unknown,22327,Emory University,3.75
Emory University Hospital Midtown,2019-10-31,2317744,15449,2019-10-28,Neonatal Icu Inpatient Unit,25.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22328,Emory University,3.75
Emory University Hospital,2019-10-24,0438635,15450,2019-10-21,Neurology/Neurosurgical Icu Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,22329,Emory University,3.75
Emory University Hospital,2019-10-24,2192087,15451,2019-10-21,Oncology Inpatient Unit,24.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,22330,Emory University,3.25
Emory University Hospital,2019-10-24,2196989,15452,2019-10-21,Cardiac/Heart/Vascular Critical Care,22.0,Female,Bsn,3.0 - 3.49,,,No,,Yes,2021-05-02,1.531506849,Obtained Position Representing A Different Job Experience,22331,Emory University,3.25
Emory University Hospital,2019-10-24,2319991,15453,2019-10-28,Oncology Inpatient Unit,23.0,Female,Bsn,3.5 And Above,,,No,,Yes,2021-06-26,1.663013699,Obtained Position Representing A Promotion/Career Advancement,22332,Emory University,3.75
Emory Decatur Hospital,2019-10-22,0710397,15454,2019-10-14,Obstetrics/Labor & Delivery Inpatient Unit,35.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-06-25,2.698630137,Other/Unknown,22333,Emory University,3.75
Emory Hillandale Hospital,2019-10-22,2072654,15455,2019-10-14,Emergency Department,24.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2021-02-20,1.356164384,Relocating Out Of Area,22334,Emory University,3.75
Emory Decatur Hospital,2019-10-22,2320110,15456,2019-10-28,Neonatal Icu Inpatient Unit,22.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2022-05-06,2.523287671,Other/Unknown,22335,Emory University,3.75
